date,quarter,mesghal,usd
2023-08-14,101000000,100610000,492480
2023-08-15,100000000,99940000,489440
2023-08-16,99500000,99810000,488580
2023-08-17,99500000,99810000,488580
2023-08-19,97000000,97970000,487920
2023-08-20,97500000,98750000,486950
2023-08-21,99000000,100470000,492730
2023-08-22,99500000,100240000,490230
2023-08-23,99400000,100210000,491670
2023-08-26,99500000,100310000,491620
2023-08-27,99600000,100130000,490130
2023-08-29,100500000,100990000,491010
2023-08-30,100780000,100880000,490200
2023-09-02,102500000,102330000,496660
2023-09-03,102000000,102750000,496400
2023-09-04,102000000,102330000,496040
2023-09-09,102500000,101630000,496650
2023-09-10,102000000,101420000,495750
2023-09-11,101000000,101240000,497000
2023-09-12,102000000,101740000,499310
2023-09-13,102000000,101740000,499310
2023-09-17,100500000,101040000,495330
2023-09-18,100000000,101380000,496450
2023-09-19,99000000,101070000,491150
2023-09-20,99400000,100710000,493930
2023-09-23,99500000,100370000,493580
2023-09-26,106500000,99040000,494480
2023-09-27,99000000,99270000,497380
2023-09-28,99000000,99270000,495380
2023-09-30,99000000,97910000,495540
2023-10-01,98930000,97490000,496500
2023-10-02,98930000,97490000,496240
2023-10-04,99430000,97130000,499010
2023-10-05,99430000,97130000,498970
2023-10-07,108430000,105860000,524400
2023-10-08,115930000,106290000,527530
2023-10-09,106930000,103930000,520570
2023-10-10,105930000,103850000,517730
2023-10-11,106930000,103860000,515530
2023-10-12,106930000,103860000,511700
2023-10-14,105000000,104170000,507520
2023-10-15,103000000,101640000,502980
2023-10-16,105000000,103820000,509920
2023-10-17,105000000,105560000,513360
2023-10-18,104000000,104445000,508805
2023-10-21,103900000,104645000,506362
2023-10-22,103500000,104140000,506160
2023-10-23,103000000,105270000,507540
2023-10-24,104500000,106460000,511860
2023-10-25,105500000,107350000,516090
2023-10-27,108000000,109530000,521490
2023-10-28,106000000,108070000,513390
2023-10-29,104500000,107530000,514600
2023-10-30,106000000,108130000,516380
2023-10-31,105500000,108240000,516860
2023-11-01,105860000,108990000,521350
2023-11-03,106260000,106740000,511400
2023-11-04,104700000,106820000,512360
2023-11-05,104500000,106860000,513520
2023-11-06,103500000,105710000,512190
2023-11-07,103500000,105420000,510520
2023-11-08,103500000,105650000,513530
2023-11-10,103000000,104940000,513250
2023-11-11,103000000,104340000,513370
2023-11-12,103000000,104530000,511800
2023-11-13,103000000,104650000,511510
2023-11-14,102500000,105040000,509070
2023-11-15,102000000,104950000,509430
2023-11-17,102000000,105370000,506400
2023-11-18,101000000,104960000,503040
2023-11-19,100500000,104070000,504010
2023-11-20,100500000,104890000,501990
2023-11-21,101000000,104630000,502190
2023-11-22,101000000,104910000,503740
2023-11-24,102500000,106170000,504280
2023-11-25,103000000,105660000,502510
2023-11-26,103000000,105590000,504240
2023-11-27,103890000,106569000,506232
2023-11-28,104000000,107280000,507010
2023-11-29,104500000,107380000,506950
2023-12-01,105500000,109430000,504830
2023-12-02,106000000,109310000,505910
2023-12-03,106000000,107980000,506510
2023-12-04,104500000,108060000,505010
2023-12-05,103500000,106810000,504240
2023-12-06,104000000,107210000,505170
2023-12-08,103500000,106160000,505310
2023-12-09,103290000,106290000,505350
2023-12-10,103000000,105580000,506170
2023-12-11,103500000,105920000,504640
2023-12-12,103300000,106120000,504460
2023-12-13,105000000,107520000,504670
2023-12-15,104600000,106420000,504670
2023-12-17,104500000,106040000,502380
2023-12-18,104000000,106360000,500560
2023-12-19,103800000,106625000,500712
2023-12-20,103000000,106720000,500760
2023-12-22,104000000,107800000,503010
2023-12-23,103000000,106910000,500690
2023-12-24,104200000,106350000,500890
2023-12-25,104500000,107230000,501040
2023-12-26,103950000,108580000,503450
2023-12-27,104450000,108370000,503190
2023-12-29,105950000,108940000,506160
2023-12-30,105950000,108490000,505630
2023-12-31,105950000,109340000,505980
2024-01-01,108450000,110220000,506430
2024-01-02,107450000,110440000,508290
2024-01-03,108950000,110990000,514170
2024-01-05,107450000,111280000,509740
2024-01-06,108450000,111860000,509760
2024-01-07,108300000,111160000,509490
2024-01-08,109950000,112390000,514840
2024-01-09,113950000,112990000,519780
2024-01-10,115950000,113220000,516020
2024-01-12,118950000,116590000,524680
2024-01-13,112950000,115060000,520860
2024-01-14,108450000,115180000,524630
2024-01-15,109950000,115970000,529040
2024-01-16,109450000,117370000,536510
2024-01-17,109950000,116760000,540290
2024-01-19,108000000,118030000,542230
2024-01-20,109000000,117910000,539080
2024-01-21,109500000,117310000,540510
2024-01-22,112000000,119150000,548920
2024-01-23,114000000,119210000,556590
2024-01-26,116500000,121470000,563000
2024-01-27,114000000,121130000,558630
2024-01-28,118500000,126030000,582990
2024-01-29,119000000,126180000,582890
2024-01-30,118000000,124960000,584030
2024-01-31,114000000,127712000,576496
2024-02-02,112000000,120490000,563780
2024-02-03,108000000,119310000,551370
2024-02-04,110000000,119630000,553880
2024-02-05,110000000,119673000,557015
2024-02-06,111000000,120760000,557380
2024-02-09,110500000,119270000,549020
2024-02-11,111500000,119080000,551950
2024-02-12,111500000,118810000,554690
2024-02-13,112000000,119410000,555800
2024-02-14,112500000,120270000,560270
2024-02-16,114500000,121520000,563020
2024-02-18,115600000,122290000,570360
2024-02-19,115000000,121260000,565060
2024-02-20,115500000,122450000,570290
2024-02-21,117000000,123070000,572710
2024-02-23,118000000,124060000,572670
2024-02-25,118000000,124560000,582491
2024-02-26,120000000,126080000,586050
2024-02-27,119500000,125570000,581090
2024-02-28,120000000,125590000,584660
2024-03-01,122500000,129510000,593130
2024-03-02,121500000,129430000,593390
2024-03-03,127500000,134670000,605020
2024-03-04,135800000,134649000,609470
2024-03-05,136000000,138170000,609890
2024-03-06,136100000,138102000,605639
2024-03-08,137000000,136520000,605340
2024-03-09,132500000,133890000,592850
2024-03-10,135000000,135700000,599410
2024-03-11,137000000,133990000,597090
2024-03-12,137000000,133580000,595340
2024-03-13,137500000,134760000,593800
2024-03-15,138000000,135960000,601080
2024-03-16,140000000,138720000,600260
2024-03-17,144000000,140970000,603510
2024-03-23,143900000,141320000,618100
2024-03-24,145000000,139710000,614030
2024-03-25,144000000,139580000,608380
2024-03-26,147900000,141270000,613950
2024-03-27,145800000,141890000,616580
2024-03-29,154300000,143310000,618334
2024-04-01,158000000,148840000,632900
2024-04-02,166000000,153710000,634740
2024-04-03,180000000,155660000,641000
2024-04-05,168000000,159470000,647000
2024-04-06,155000000,154220000,640000
